t,OR Category L1,OR Category L2,counts
-11924,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-8365,Internal Fraud,Theft and Fraud (Internal Fraud),1
-8037,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-7301,Clients Products and Business Practices,Advisory Activity,1
-7300,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-7200,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-7071,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-6904,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-6536,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-6290,Clients Products and Business Practices,Advisory Activity,1
-6206,Clients Products and Business Practices,Defective Products,1
-6176,External Fraud,Theft and Fraud (External Fraud),1
-6170,Clients Products and Business Practices,Trade Counterparties,1
-6129,Clients Products and Business Practices,Improper Business or Market Practices,1
-6128,Execution Delivery and Process Management,Clients' Accounts Management,1
-6119,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-6117,Clients Products and Business Practices,Improper Business or Market Practices,1
-5842,Internal Fraud,Theft and Fraud (Internal Fraud),1
-5763,External Fraud,Theft and Fraud (External Fraud),1
-5756,Clients Products and Business Practices,Advisory Activity,1
-5671,Execution Delivery and Process Management,Suppliers,1
-5536,Execution Delivery and Process Management,Contractual Customer Documents,1
-5517,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-5459,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-5450,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-5445,Execution Delivery and Process Management,Contractual Customer Documents,1
-5440,Clients Products and Business Practices,Advisory Activity,1
-5438,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-5426,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-5415,Internal Fraud,Theft and Fraud (Internal Fraud),1
-5412,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-5402,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-5389,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-5325,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-5307,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-5292,Clients Products and Business Practices,Improper Business or Market Practices,1
-5237,External Fraud,Theft and Fraud (External Fraud),1
-5201,Clients Products and Business Practices,Improper Business or Market Practices,1
-5192,Internal Fraud,Theft and Fraud (Internal Fraud),1
-5173,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-5170,Execution Delivery and Process Management,Contractual Customer Documents,1
-5135,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-5125,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-5125,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-5125,External Fraud,Theft and Fraud (External Fraud),1
-5111,Execution Delivery and Process Management,Monitoring and Reporting,1
-5111,External Fraud,Theft and Fraud (External Fraud),1
-5109,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-5099,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-5086,Execution Delivery and Process Management,Clients' Accounts Management,1
-5061,Clients Products and Business Practices,Trade Counterparties,1
-5059,Clients Products and Business Practices,Advisory Activity,1
-5054,Clients Products and Business Practices,Advisory Activity,1
-5030,Clients Products and Business Practices,Advisory Activity,1
-5020,Clients Products and Business Practices,Improper Business or Market Practices,1
-5018,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-5001,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4994,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4990,Execution Delivery and Process Management,Suppliers,1
-4981,External Fraud,Theft and Fraud (External Fraud),4
-4967,Clients Products and Business Practices,Advisory Activity,1
-4966,Execution Delivery and Process Management,Clients' Accounts Management,1
