current_delta,OR Category L1,OR Category L2,counts,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-11924,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-8365,Internal Fraud,Theft and Fraud (Internal Fraud),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-8037,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-7301,Clients Products and Business Practices,Advisory Activity,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7300,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-7200,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-7071,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-6904,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-6536,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-6290,Clients Products and Business Practices,Advisory Activity,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6206,Clients Products and Business Practices,Defective Products,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6176,External Fraud,Theft and Fraud (External Fraud),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-6170,Clients Products and Business Practices,Trade Counterparties,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-6129,Clients Products and Business Practices,Improper Business or Market Practices,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6128,Execution Delivery and Process Management,Clients' Accounts Management,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6119,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
