"t","L1_cat","L2_cat","counts"
-1825,"EF","EFTF",0
-1825,"EF","EFSS",0
-1825,"EDPM","TCEM",1
-1824,"EF","EFTF",1
-1824,"EF","EFSS",0
-1824,"EDPM","TCEM",5
-1823,"EF","EFTF",0
-1823,"EF","EFSS",0
-1823,"EDPM","TCEM",5
-1822,"EF","EFTF",0
-1822,"EF","EFSS",0
-1822,"EDPM","TCEM",3
-1821,"EF","EFTF",1
-1821,"EF","EFSS",0
-1821,"EDPM","TCEM",3
-1820,"EF","EFTF",1
-1820,"EF","EFSS",0
-1820,"EDPM","TCEM",4
-1819,"EF","EFTF",0
-1819,"EF","EFSS",0
-1819,"EDPM","TCEM",3
-1818,"EF","EFTF",1
-1818,"EF","EFSS",1
-1818,"EDPM","TCEM",6
-1817,"EF","EFTF",1
-1817,"EF","EFSS",1
-1817,"EDPM","TCEM",2
-1816,"EF","EFTF",0
-1816,"EF","EFSS",0
-1816,"EDPM","TCEM",6
-1815,"EF","EFTF",0
-1815,"EF","EFSS",0
-1815,"EDPM","TCEM",2
-1814,"EF","EFTF",0
-1814,"EF","EFSS",0
-1814,"EDPM","TCEM",2
-1813,"EF","EFTF",0
-1813,"EF","EFSS",0
-1813,"EDPM","TCEM",5
-1812,"EF","EFTF",0
-1812,"EF","EFSS",0
-1812,"EDPM","TCEM",4
-1811,"EF","EFTF",1
-1811,"EF","EFSS",0
-1811,"EDPM","TCEM",8
-1810,"EF","EFTF",0
-1810,"EF","EFSS",0
-1810,"EDPM","TCEM",6
-1809,"EF","EFTF",2
-1809,"EF","EFSS",1
-1809,"EDPM","TCEM",6
-1808,"EF","EFTF",0
-1808,"EF","EFSS",0
-1808,"EDPM","TCEM",5
-1807,"EF","EFTF",2
-1807,"EF","EFSS",1
-1807,"EDPM","TCEM",7
-1806,"EF","EFTF",1
-1806,"EF","EFSS",0
-1806,"EDPM","TCEM",7
-1805,"EF","EFTF",0
-1805,"EF","EFSS",0
-1805,"EDPM","TCEM",7
-1804,"EF","EFTF",0
-1804,"EF","EFSS",0
-1804,"EDPM","TCEM",5
-1803,"EF","EFTF",1
-1803,"EF","EFSS",0
-1803,"EDPM","TCEM",8
-1802,"EF","EFTF",1
-1802,"EF","EFSS",0
-1802,"EDPM","TCEM",3
-1801,"EF","EFTF",0
-1801,"EF","EFSS",0
-1801,"EDPM","TCEM",7
-1800,"EF","EFTF",0
-1800,"EF","EFSS",0
-1800,"EDPM","TCEM",3
-1799,"EF","EFTF",0
-1799,"EF","EFSS",0
-1799,"EDPM","TCEM",12
-1798,"EF","EFTF",0
-1798,"EF","EFSS",0
-1798,"EDPM","TCEM",7
-1797,"EF","EFTF",1
-1797,"EF","EFSS",0
-1797,"EDPM","TCEM",6
-1796,"EF","EFTF",0
-1796,"EF","EFSS",0
-1796,"EDPM","TCEM",2
-1795,"EF","EFTF",0
-1795,"EF","EFSS",0
-1795,"EDPM","TCEM",8
-1794,"EF","EFTF",2
-1794,"EF","EFSS",1
-1794,"EDPM","TCEM",5
-1793,"EF","EFTF",0
-1793,"EF","EFSS",0
-1793,"EDPM","TCEM",4
-1792,"EF","EFTF",0
-1792,"EF","EFSS",0
-1792,"EDPM","TCEM",6
-1791,"EF","EFTF",1
-1791,"EF","EFSS",0
-1791,"EDPM","TCEM",6
-1790,"EF","EFTF",1
-1790,"EF","EFSS",0
-1790,"EDPM","TCEM",3
-1789,"EF","EFTF",0
-1789,"EF","EFSS",0
-1789,"EDPM","TCEM",1
-1788,"EF","EFTF",1
-1788,"EF","EFSS",0
-1788,"EDPM","TCEM",3
-1787,"EF","EFTF",0
-1787,"EF","EFSS",0
-1787,"EDPM","TCEM",9
-1786,"EF","EFTF",0
-1786,"EF","EFSS",0
-1786,"EDPM","TCEM",2
-1785,"EF","EFTF",0
-1785,"EF","EFSS",0
-1785,"EDPM","TCEM",4
-1784,"EF","EFTF",1
-1784,"EF","EFSS",0
-1784,"EDPM","TCEM",3
-1783,"EF","EFTF",0
-1783,"EF","EFSS",0
-1783,"EDPM","TCEM",5
-1782,"EF","EFTF",1
-1782,"EF","EFSS",0
-1782,"EDPM","TCEM",2
-1781,"EF","EFTF",0
-1781,"EF","EFSS",0
-1781,"EDPM","TCEM",8
-1780,"EF","EFTF",0
-1780,"EF","EFSS",0
-1780,"EDPM","TCEM",4
-1779,"EF","EFTF",1
-1779,"EF","EFSS",0
-1779,"EDPM","TCEM",3
-1778,"EF","EFTF",0
-1778,"EF","EFSS",0
-1778,"EDPM","TCEM",7
-1777,"EF","EFTF",0
-1777,"EF","EFSS",0
-1777,"EDPM","TCEM",4
-1776,"EF","EFTF",0
-1776,"EF","EFSS",0
-1776,"EDPM","TCEM",6
-1775,"EF","EFTF",0
-1775,"EF","EFSS",0
-1775,"EDPM","TCEM",6
-1774,"EF","EFTF",1
-1774,"EF","EFSS",0
-1774,"EDPM","TCEM",6
-1773,"EF","EFTF",0
-1773,"EF","EFSS",0
-1773,"EDPM","TCEM",1
-1772,"EF","EFTF",0
-1772,"EF","EFSS",1
-1772,"EDPM","TCEM",6
-1771,"EF","EFTF",0
-1771,"EF","EFSS",0
-1771,"EDPM","TCEM",5
-1770,"EF","EFTF",0
-1770,"EF","EFSS",0
-1770,"EDPM","TCEM",0
-1769,"EF","EFTF",1
-1769,"EF","EFSS",0
-1769,"EDPM","TCEM",7
-1768,"EF","EFTF",1
-1768,"EF","EFSS",0
-1768,"EDPM","TCEM",4
-1767,"EF","EFTF",0
-1767,"EF","EFSS",0
-1767,"EDPM","TCEM",7
-1766,"EF","EFTF",0
-1766,"EF","EFSS",0
-1766,"EDPM","TCEM",4
-1765,"EF","EFTF",0
-1765,"EF","EFSS",0
-1765,"EDPM","TCEM",3
-1764,"EF","EFTF",0
-1764,"EF","EFSS",0
-1764,"EDPM","TCEM",5
-1763,"EF","EFTF",0
-1763,"EF","EFSS",0
-1763,"EDPM","TCEM",5
-1762,"EF","EFTF",1
-1762,"EF","EFSS",0
-1762,"EDPM","TCEM",3
-1761,"EF","EFTF",0
-1761,"EF","EFSS",0
-1761,"EDPM","TCEM",7
-1760,"EF","EFTF",2
-1760,"EF","EFSS",0
-1760,"EDPM","TCEM",6
-1759,"EF","EFTF",1
-1759,"EF","EFSS",0
-1759,"EDPM","TCEM",1
-1758,"EF","EFTF",0
-1758,"EF","EFSS",0
-1758,"EDPM","TCEM",1
-1757,"EF","EFTF",0
-1757,"EF","EFSS",0
-1757,"EDPM","TCEM",3
-1756,"EF","EFTF",1
-1756,"EF","EFSS",0
-1756,"EDPM","TCEM",7
-1755,"EF","EFTF",2
-1755,"EF","EFSS",0
-1755,"EDPM","TCEM",2
-1754,"EF","EFTF",1
-1754,"EF","EFSS",0
-1754,"EDPM","TCEM",6
-1753,"EF","EFTF",0
-1753,"EF","EFSS",0
-1753,"EDPM","TCEM",4
-1752,"EF","EFTF",0
-1752,"EF","EFSS",0
-1752,"EDPM","TCEM",5
-1751,"EF","EFTF",0
-1751,"EF","EFSS",0
-1751,"EDPM","TCEM",6
-1750,"EF","EFTF",0
-1750,"EF","EFSS",0
-1750,"EDPM","TCEM",4
-1749,"EF","EFTF",0
-1749,"EF","EFSS",0
-1749,"EDPM","TCEM",4
-1748,"EF","EFTF",0
-1748,"EF","EFSS",0
-1748,"EDPM","TCEM",2
-1747,"EF","EFTF",2
-1747,"EF","EFSS",0
-1747,"EDPM","TCEM",7
-1746,"EF","EFTF",0
-1746,"EF","EFSS",0
-1746,"EDPM","TCEM",4
-1745,"EF","EFTF",1
-1745,"EF","EFSS",0
-1745,"EDPM","TCEM",4
-1744,"EF","EFTF",0
-1744,"EF","EFSS",0
-1744,"EDPM","TCEM",6
-1743,"EF","EFTF",1
-1743,"EF","EFSS",0
-1743,"EDPM","TCEM",4
-1742,"EF","EFTF",0
-1742,"EF","EFSS",0
-1742,"EDPM","TCEM",3
-1741,"EF","EFTF",0
-1741,"EF","EFSS",0
-1741,"EDPM","TCEM",3
-1740,"EF","EFTF",0
-1740,"EF","EFSS",0
-1740,"EDPM","TCEM",5
-1739,"EF","EFTF",1
-1739,"EF","EFSS",0
-1739,"EDPM","TCEM",6
-1738,"EF","EFTF",0
-1738,"EF","EFSS",0
-1738,"EDPM","TCEM",1
-1737,"EF","EFTF",1
-1737,"EF","EFSS",0
-1737,"EDPM","TCEM",6
-1736,"EF","EFTF",1
-1736,"EF","EFSS",0
-1736,"EDPM","TCEM",9
-1735,"EF","EFTF",1
-1735,"EF","EFSS",2
-1735,"EDPM","TCEM",3
-1734,"EF","EFTF",1
-1734,"EF","EFSS",0
-1734,"EDPM","TCEM",6
-1733,"EF","EFTF",0
-1733,"EF","EFSS",0
-1733,"EDPM","TCEM",5
-1732,"EF","EFTF",0
-1732,"EF","EFSS",0
-1732,"EDPM","TCEM",3
-1731,"EF","EFTF",0
-1731,"EF","EFSS",0
-1731,"EDPM","TCEM",4
-1730,"EF","EFTF",0
-1730,"EF","EFSS",0
-1730,"EDPM","TCEM",6
-1729,"EF","EFTF",2
-1729,"EF","EFSS",0
-1729,"EDPM","TCEM",6
-1728,"EF","EFTF",0
-1728,"EF","EFSS",0
-1728,"EDPM","TCEM",7
-1727,"EF","EFTF",0
-1727,"EF","EFSS",0
-1727,"EDPM","TCEM",7
-1726,"EF","EFTF",1
-1726,"EF","EFSS",0
-1726,"EDPM","TCEM",10
-1725,"EF","EFTF",0
-1725,"EF","EFSS",0
-1725,"EDPM","TCEM",2
-1724,"EF","EFTF",0
-1724,"EF","EFSS",0
-1724,"EDPM","TCEM",7
-1723,"EF","EFTF",0
-1723,"EF","EFSS",0
-1723,"EDPM","TCEM",2
-1722,"EF","EFTF",0
-1722,"EF","EFSS",0
-1722,"EDPM","TCEM",3
-1721,"EF","EFTF",1
-1721,"EF","EFSS",1
-1721,"EDPM","TCEM",6
-1720,"EF","EFTF",0
-1720,"EF","EFSS",0
-1720,"EDPM","TCEM",5
-1719,"EF","EFTF",0
-1719,"EF","EFSS",0
-1719,"EDPM","TCEM",4
-1718,"EF","EFTF",0
-1718,"EF","EFSS",0
-1718,"EDPM","TCEM",4
-1717,"EF","EFTF",0
-1717,"EF","EFSS",0
-1717,"EDPM","TCEM",4
-1716,"EF","EFTF",0
-1716,"EF","EFSS",0
-1716,"EDPM","TCEM",6
-1715,"EF","EFTF",1
-1715,"EF","EFSS",0
-1715,"EDPM","TCEM",1
-1714,"EF","EFTF",1
-1714,"EF","EFSS",0
-1714,"EDPM","TCEM",6
-1713,"EF","EFTF",0
-1713,"EF","EFSS",0
-1713,"EDPM","TCEM",6
-1712,"EF","EFTF",0
-1712,"EF","EFSS",0
-1712,"EDPM","TCEM",3
-1711,"EF","EFTF",0
-1711,"EF","EFSS",0
-1711,"EDPM","TCEM",3
-1710,"EF","EFTF",1
-1710,"EF","EFSS",0
-1710,"EDPM","TCEM",6
-1709,"EF","EFTF",0
-1709,"EF","EFSS",0
-1709,"EDPM","TCEM",6
-1708,"EF","EFTF",0
-1708,"EF","EFSS",0
-1708,"EDPM","TCEM",4
-1707,"EF","EFTF",0
-1707,"EF","EFSS",0
-1707,"EDPM","TCEM",2
-1706,"EF","EFTF",1
-1706,"EF","EFSS",0
-1706,"EDPM","TCEM",8
-1705,"EF","EFTF",1
-1705,"EF","EFSS",0
-1705,"EDPM","TCEM",8
-1704,"EF","EFTF",1
-1704,"EF","EFSS",2
-1704,"EDPM","TCEM",9
-1703,"EF","EFTF",2
-1703,"EF","EFSS",0
-1703,"EDPM","TCEM",6
-1702,"EF","EFTF",0
-1702,"EF","EFSS",0
-1702,"EDPM","TCEM",3
-1701,"EF","EFTF",0
-1701,"EF","EFSS",0
-1701,"EDPM","TCEM",3
-1700,"EF","EFTF",0
-1700,"EF","EFSS",0
-1700,"EDPM","TCEM",6
-1699,"EF","EFTF",0
-1699,"EF","EFSS",0
-1699,"EDPM","TCEM",6
-1698,"EF","EFTF",2
-1698,"EF","EFSS",0
-1698,"EDPM","TCEM",9
-1697,"EF","EFTF",0
-1697,"EF","EFSS",0
-1697,"EDPM","TCEM",4
-1696,"EF","EFTF",0
-1696,"EF","EFSS",0
-1696,"EDPM","TCEM",10
-1695,"EF","EFTF",0
-1695,"EF","EFSS",0
-1695,"EDPM","TCEM",2
-1694,"EF","EFTF",0
-1694,"EF","EFSS",0
-1694,"EDPM","TCEM",3
-1693,"EF","EFTF",0
-1693,"EF","EFSS",0
-1693,"EDPM","TCEM",4
-1692,"EF","EFTF",0
-1692,"EF","EFSS",0
-1692,"EDPM","TCEM",4
-1691,"EF","EFTF",0
-1691,"EF","EFSS",0
-1691,"EDPM","TCEM",4
-1690,"EF","EFTF",0
-1690,"EF","EFSS",0
-1690,"EDPM","TCEM",3
-1689,"EF","EFTF",0
-1689,"EF","EFSS",0
-1689,"EDPM","TCEM",7
-1688,"EF","EFTF",0
-1688,"EF","EFSS",0
-1688,"EDPM","TCEM",3
-1687,"EF","EFTF",0
-1687,"EF","EFSS",0
-1687,"EDPM","TCEM",5
-1686,"EF","EFTF",0
