"t" "L1_cat" "L2_cat" "count"
-1825 "EDPM" "TCEM" 1
-1824 "EDPM" "TCEM" 0
-1823 "EDPM" "TCEM" 0
-1822 "EDPM" "TCEM" 1
-1821 "EDPM" "TCEM" 2
-1820 "EDPM" "TCEM" 2
-1819 "EDPM" "TCEM" 1
-1818 "EDPM" "TCEM" 1
-1817 "EDPM" "TCEM" 1
-1816 "EDPM" "TCEM" 0
-1815 "EDPM" "TCEM" 1
-1814 "EDPM" "TCEM" 1
-1813 "EDPM" "TCEM" 1
-1812 "EDPM" "TCEM" 2
-1811 "EDPM" "TCEM" 1
-1810 "EDPM" "TCEM" 1
-1809 "EDPM" "TCEM" 2
-1808 "EDPM" "TCEM" 0
-1807 "EDPM" "TCEM" 1
-1806 "EDPM" "TCEM" 0
-1805 "EDPM" "TCEM" 0
-1804 "EDPM" "TCEM" 3
-1803 "EDPM" "TCEM" 0
-1802 "EDPM" "TCEM" 0
-1801 "EDPM" "TCEM" 2
-1800 "EDPM" "TCEM" 1
-1799 "EDPM" "TCEM" 0
-1798 "EDPM" "TCEM" 0
-1797 "EDPM" "TCEM" 5
-1796 "EDPM" "TCEM" 1
-1795 "EDPM" "TCEM" 2
-1794 "EDPM" "TCEM" 0
-1793 "EDPM" "TCEM" 2
-1792 "EDPM" "TCEM" 0
-1791 "EDPM" "TCEM" 2
-1790 "EDPM" "TCEM" 0
-1789 "EDPM" "TCEM" 0
-1788 "EDPM" "TCEM" 0
-1787 "EDPM" "TCEM" 0
-1786 "EDPM" "TCEM" 1
-1785 "EDPM" "TCEM" 1
-1784 "EDPM" "TCEM" 1
-1783 "EDPM" "TCEM" 0
-1782 "EDPM" "TCEM" 2
-1781 "EDPM" "TCEM" 0
-1780 "EDPM" "TCEM" 1
-1779 "EDPM" "TCEM" 2
-1778 "EDPM" "TCEM" 1
-1777 "EDPM" "TCEM" 0
-1776 "EDPM" "TCEM" 2
-1775 "EDPM" "TCEM" 0
-1774 "EDPM" "TCEM" 2
-1773 "EDPM" "TCEM" 1
-1772 "EDPM" "TCEM" 0
-1771 "EDPM" "TCEM" 2
-1770 "EDPM" "TCEM" 1
-1769 "EDPM" "TCEM" 1
